Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"8-by-yoox","8 by YOOX","These pants in solid-color leather feature a high-waisted silhouette and a slim fit. Made in Italy, they come complete with contrasting stitching along the leg seams and a zipper closure. The model is wearing an Italian size S/40",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, 8 by YOOX",TRUE,https://www.yoox.com/us/13655184OS/item#dept=clothingwomen&sts=SearchResult,Color,Lilac,Size,2,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13655184OS_14_f.jpg,g,,,active,
"8-by-yoox",,,,,,,,,,Lilac,,4,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,6,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,8,,,,,,,deny,manual,280,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13655184OS_14_e.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Lilac,,10,,,,,,,deny,manual,280,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"marni","MARNI","knitted, no appliqués, medium-weight knit, round collar, multicolor pattern, long sleeves, no pockets, asymmetrical hemline",Eslam Hosny M.,,"Cashmere blend","HOME, Women, Sweaters and Sweatshirts, Cashmere blends, MARNI",TRUE,https://www.yoox.com/us/14106981FI/item#dept=clothingwomen&sts=SearchResult,Color,Yellow,Size,0,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_f.jpg,1,,FALSE,,,,,,,"Cashmere blend",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14106981FI_14_f.jpg,g,,,active,
"marni",,,,,,,,,,Yellow,,2,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,4,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,6,,,,,,,deny,manual,450,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14106981FI_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"marni",,,,,,,,,,Yellow,,8,,,,,,,deny,manual,450,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™","OFF-WHITE™","twill, brand logo, multicolor pattern, high waisted, belt loops, tapered leg, regular fit, hook-and-eye closure, zipper closure, multipockets, stretch",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, OFF-WHITE™",TRUE,https://www.yoox.com/us/13705656DV/item#dept=clothingwomen&sts=SearchResult,Color,Red,Size,0,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13705656DV_14_f.jpg,g,,,active,
"off-white™",,,,,,,,,,Red,,2,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,Red,,4,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,Red,,6,,,,,,,deny,manual,541,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705656DV_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"versace","VERSACE","knitted, lightweight knit, brooch, brand logo, two-tone, round collar, long sleeves, no pockets",Eslam Hosny M.,,"Sweater","HOME, Women, Sweaters and Sweatshirts, Sweaters, VERSACE",TRUE,https://www.yoox.com/us/14187307EL/item#dept=clothingwomen&sts=SearchResult,Color,Green,Size,2,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,1,,FALSE,,,,,,,"Sweater",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14187307EL_14_f.jpg,g,,,active,
"versace",,,,,,,,,,Green,,4,,,,,,,deny,manual,463,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14187307EL_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"versace",,,,,,,,,,Green,,8,,,,,,,deny,manual,463,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua","ALESSANDRO DELL'ACQUA","neoprene, rhinestones, beads, solid colour with appliqués, round collar, long sleeves, small sized",Eslam Hosny M.,,"Sweatshirt","HOME, Women, Sweaters and Sweatshirts, Sweatshirts, ALESSANDRO DELL'ACQUA",TRUE,https://www.yoox.com/us/12731194OS/item#dept=clothingwomen&sts=SearchResult,Color,Light grey,Size,4,,,,,,,deny,manual,167,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_f.jpg,1,,FALSE,,,,,,,"Sweatshirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12731194OS_14_f.jpg,g,,,active,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"alessandro-dellacqua",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12731194OS_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"stella-mccartney","STELLA McCARTNEY","denim, brand logo, solid color, light wash, button, zip, mid rise, front closure, multipockets, stretch, slim-leg pants, large sized",Eslam Hosny M.,,"Denim pants","HOME, Women, Jeans and Denim, Denim pants, STELLA McCARTNEY",TRUE,https://www.yoox.com/us/42729101DK/item#dept=clothingwomen&sts=SearchResult,Color,Blue,Size,25,,,,,,,deny,manual,140,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_f.jpg,1,,FALSE,,,,,,,"Denim pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/42/42729101DK_14_f.jpg,g,,,active,
"stella-mccartney",,,,,,,,,,Blue,,26,,,,,,,deny,manual,140,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"stella-mccartney",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"stella-mccartney",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/42/42729101DK_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"paul-smith","PAUL SMITH","sweatshirt fleece, brand logo, solid color with print, round collar, long sleeves, ribbed cuffs, fleece lining",Eslam Hosny M.,,"Sweatshirt","HOME, Women, Sweaters and Sweatshirts, Sweatshirts, PAUL SMITH",TRUE,https://www.yoox.com/us/12728751UJ/item#dept=clothingwomen&sts=SearchResult,Color,White,Size,XS,,,,,,,deny,manual,69,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12728751UJ_14_f.jpg,1,,FALSE,,,,,,,"Sweatshirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12728751UJ_14_f.jpg,g,,,active,
"paul-smith",,,,,,,,,,White,,S,,,,,,,deny,manual,69,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12728751UJ_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"paul-smith",,,,,,,,,,White,,M,,,,,,,deny,manual,69,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12728751UJ_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"paul-smith",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12728751UJ_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"versace","VERSACE","sweatshirt fleece, brand logo, multicolor pattern, high waisted, straight leg, regular fit, elasticized waist, multipockets",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, VERSACE",TRUE,https://www.yoox.com/us/13682454ME/item#dept=clothingwomen&sts=SearchResult,Color,Sky blue,Size,8,,,,,,,deny,manual,548,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13682454ME_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13682454ME_14_f.jpg,g,,,active,
"versace",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13682454ME_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"versace",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13682454ME_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"versace",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13682454ME_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana","DOLCE & GABBANA","knitted, no appliqués, lightweight knit, round collar, floral design, long sleeves, button closing, multipockets",Eslam Hosny M.,,"Cardigan","HOME, Women, Sweaters and Sweatshirts, Cardigans, DOLCE & GABBANA",TRUE,https://www.yoox.com/us/14168686LP/item#dept=clothingwomen&sts=SearchResult,Color,Yellow,Size,0,,,,,,,deny,manual,606,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14168686LP_14_f.jpg,1,,FALSE,,,,,,,"Cardigan",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/14/14168686LP_14_f.jpg,g,,,active,
"dolce--gabbana",,,,,,,,,,Yellow,,2,,,,,,,deny,manual,606,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14168686LP_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana",,,,,,,,,,Yellow,,4,,,,,,,deny,manual,606,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14168686LP_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/14/14168686LP_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana","DOLCE & GABBANA","lace, chiffon, brand logo, floral design, elasticized waist, fully lined, zipper closure, no pockets",Eslam Hosny M.,,"Maxi Skirts","HOME, Women, Skirts, Maxi Skirts, DOLCE & GABBANA",TRUE,https://www.yoox.com/us/13706692BP/item#dept=clothingwomen&sts=SearchResult,Color,Yellow,Size,0,,,,,,,deny,manual,1830,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13706692BP_14_f.jpg,1,,FALSE,,,,,,,"Maxi Skirts",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13706692BP_14_f.jpg,g,,,active,
"dolce--gabbana",,,,,,,,,,Yellow,,2,,,,,,,deny,manual,1830,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13706692BP_14_a.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana",,,,,,,,,,Yellow,,4,,,,,,,deny,manual,1830,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"dolce--gabbana",,,,,,,,,,Yellow,,6,,,,,,,deny,manual,1830,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™","OFF-WHITE™","denim, faded, brand logo, light wash, solid color, straight leg, high waisted, button closing, multipockets",Eslam Hosny M.,,"Denim pants","HOME, Women, Jeans and Denim, Denim pants, OFF-WHITE™",TRUE,https://www.yoox.com/us/13673353WA/item#dept=clothingwomen&sts=SearchResult,Color,Blue,Size,25,,,,,,,deny,manual,374,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13673353WA_14_f.jpg,1,,FALSE,,,,,,,"Denim pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13673353WA_14_f.jpg,g,,,active,
"off-white™",,,,,,,,,,Blue,,26,,,,,,,deny,manual,374,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13673353WA_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,Blue,,29,,,,,,,deny,manual,374,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13673353WA_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13673353WA_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox","8 by YOOX","Designed for spring, these twill pants feature a plaid print and a high waist. Made in Italy, they are rounded off with an elastic waistband for a very comfortable fit. The model is wearing an Italian size 40/S",Eslam Hosny M.,,"Casual pants","HOME, Women, Pants, Casual pants, 8 by YOOX",TRUE,https://www.yoox.com/us/13705141KH/item#dept=clothingwomen&sts=SearchResult,Color,Black,Size,2,,,,,,,deny,manual,45,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705141KH_14_f.jpg,1,,FALSE,,,,,,,"Casual pants",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/13/13705141KH_14_f.jpg,g,,,active,
"8-by-yoox",,,,,,,,,,Black,,4,,,,,,,deny,manual,45,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705141KH_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Black,,6,,,,,,,deny,manual,45,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705141KH_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Black,,8,,,,,,,deny,manual,45,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705141KH_14_e.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"8-by-yoox",,,,,,,,,,Black,,10,,,,,,,deny,manual,45,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/13/13705141KH_14_a.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"moncler","MONCLER","grosgrain, crepe, pleated, brand logo, embroidered detailing, multicolor pattern, belted waistline, front closure, button closing, unlined",Eslam Hosny M.,,"Midi skirt","HOME, Women, Skirts, Midi skirts, MONCLER",TRUE,https://www.yoox.com/us/35429453UO/item#dept=clothingwomen&sts=SearchResult,Color,Light yellow,Size,2,,,,,,,deny,manual,551,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/35/35429453UO_14_f.jpg,1,,FALSE,,,,,,,"Midi skirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/35/35429453UO_14_f.jpg,g,,,active,
"moncler",,,,,,,,,,Light yellow,,4,,,,,,,deny,manual,551,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/35/35429453UO_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"moncler",,,,,,,,,,Light yellow,,6,,,,,,,deny,manual,551,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/35/35429453UO_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"moncler",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/35/35429453UO_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"les-girls-les-boys-x-yoox","LES GIRLS LES BOYS x YOOX","Striped button-up pajama top in 100% cotton with pockets at front. The perfect combination of comfort and design, this piece can be mixed and matched with your everyday wardrobe and is part of the LES GIRLS LES BOYS X YOOX capsule collection.",Eslam Hosny M.,,"Sleepwear","HOME, Women, Underwear, Sleepwear, LES GIRLS LES BOYS x YOOX",TRUE,https://www.yoox.com/us/12649945KF/item#dept=clothingwomen&sts=SearchResult,Color,Pink,Size,XS,,,,,,,deny,manual,105,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12649945KF_14_f.jpg,1,,FALSE,,,,,,,"Sleepwear",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12649945KF_14_f.jpg,g,,,active,
"les-girls-les-boys-x-yoox",,,,,,,,,,Pink,,S,,,,,,,deny,manual,105,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12649945KF_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"les-girls-les-boys-x-yoox",,,,,,,,,,Pink,,M,,,,,,,deny,manual,105,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12649945KF_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"les-girls-les-boys-x-yoox",,,,,,,,,,Pink,,L,,,,,,,deny,manual,105,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12649945KF_14_e.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"les-girls-les-boys-x-yoox",,,,,,,,,,Pink,,XL,,,,,,,deny,manual,105,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12649945KF_14_a.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™","OFF-WHITE™","jersey, brand logo, solid color, round collar, short sleeves, no pockets, stretch",Eslam Hosny M.,,"T-shirt","HOME, Women, T-Shirts and Tops, T-shirts, OFF-WHITE™",TRUE,https://www.yoox.com/us/12625168DM/item#dept=clothingwomen&sts=SearchResult,Color,Black,Size,M,,,,,,,deny,manual,276,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12625168DM_14_f.jpg,1,,FALSE,,,,,,,"T-shirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12625168DM_14_f.jpg,g,,,active,
"off-white™",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12625168DM_14_r.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12625168DM_14_d.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"off-white™",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12625168DM_14_a.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"diesel","DIESEL","jersey, brand logo, multicolor pattern, round collar, short sleeves, no pockets",Eslam Hosny M.,,"T-shirt","HOME, Women, T-Shirts and Tops, T-shirts, DIESEL",TRUE,https://www.yoox.com/us/12605308LC/item#dept=clothingwomen&sts=SearchResult,Color,Turquoise,Size,XXS,,,,,,,deny,manual,28,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12605308WA_14_f.jpg,1,,FALSE,,,,,,,"T-shirt",,,FALSE,,,,,,https://cdn.yoox.biz//images/items/12/12605308WA_14_f.jpg,g,,,active,
"diesel",,,,,,,,,,White,,XXS,,,,,,,deny,manual,28,,TRUE,TRUE,,https://cdn.yoox.biz//images/items/12/12605308WA_14_r.jpg,2,,,,,,,,,,,,,,,,,,https://cdn.yoox.biz//images/items/12/12605308LC_14_f.jpg,g,,,,
